window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 4, 19, 20, 0), end=datetime.datetime(2016, 4, 30, 20, 0))","[0.6756754492738868, 0.729729433665852, 0.6216214648819216, 0.5675674804899564, 0.5135134960979912, 0.7027024414698694, 0.6756754492738868, 0.6486484570779042, 0.6216214648819216, 0.594594472685939, 0.5675674804899564, 0.27027056633414803, 0.0, 0.6756754492738868, 0.5675674804899564, 0.5675674804899564, 0.5324323261977468, 0.5135134960979912, 1.0, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 20, 20, 0), end=datetime.datetime(2016, 5, 1, 20, 0))","[0.6216214648819216, 0.5675674804899564, 0.5135134960979912, 0.7027024414698694, 0.6756754492738868, 0.6486484570779042, 0.6216214648819216, 0.594594472685939, 0.5675674804899564, 0.27027056633414803, 0.0, 0.6756754492738868, 0.5675674804899564, 0.5675674804899564, 0.5324323261977468, 0.5135134960979912, 1.0, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346]","[0.0, 0.0, 0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969]"
"Row(start=datetime.datetime(2016, 4, 21, 20, 0), end=datetime.datetime(2016, 5, 2, 20, 0))","[0.5135134960979912, 0.7027024414698694, 0.6756754492738868, 0.6486484570779042, 0.6216214648819216, 0.594594472685939, 0.5675674804899564, 0.27027056633414803, 0.0, 0.6756754492738868, 0.5675674804899564, 0.5675674804899564, 0.5324323261977468, 0.5135134960979912, 1.0, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346, 0.7567564258618346]","[0.0, 0.0, 0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267]"
"Row(start=datetime.datetime(2016, 4, 22, 20, 0), end=datetime.datetime(2016, 5, 3, 20, 0))","[0.7599997520446777, 0.7399997711181641, 0.7199997901916504, 0.6999998092651367, 0.679999828338623, 0.46000003814697266, 0.25999975204467773, 0.7599997520446777, 0.679999828338623, 0.679999828338623, 0.6539998054504395, 0.6399998664855957, 1.0, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.0, 0.5399999618530273]","[0.9896, 0.8387, 0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267, 0.9928, 0.0]"
"Row(start=datetime.datetime(2016, 4, 23, 20, 0), end=datetime.datetime(2016, 5, 4, 20, 0))","[0.7199997901916504, 0.6999998092651367, 0.679999828338623, 0.46000003814697266, 0.25999975204467773, 0.7599997520446777, 0.679999828338623, 0.679999828338623, 0.6539998054504395, 0.6399998664855957, 1.0, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.0, 0.5399999618530273, 0.5199999809265137, 0.4200000762939453]","[0.0, 0.0, 0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267, 0.9928, 0.0, 0.9773, 0.0]"
"Row(start=datetime.datetime(2016, 4, 24, 20, 0), end=datetime.datetime(2016, 5, 5, 20, 0))","[0.679999828338623, 0.46000003814697266, 0.25999975204467773, 0.7599997520446777, 0.679999828338623, 0.679999828338623, 0.6539998054504395, 0.6399998664855957, 1.0, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.0, 0.5399999618530273, 0.5199999809265137, 0.4200000762939453, 0.17999982833862305, 0.40000009536743164]","[0.0, -0.5994, 0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267, 0.9928, 0.0, 0.9773, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 25, 20, 0), end=datetime.datetime(2016, 5, 6, 20, 0))","[0.25999975204467773, 0.7599997520446777, 0.679999828338623, 0.679999828338623, 0.6539998054504395, 0.6399998664855957, 1.0, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.0, 0.5399999618530273, 0.5199999809265137, 0.4200000762939453, 0.17999982833862305, 0.40000009536743164, 0.0839996337890625, 0.25999975204467773]","[0.0, 0.0, 0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267, 0.9928, 0.0, 0.9773, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 26, 20, 0), end=datetime.datetime(2016, 5, 7, 20, 0))","[0.679999828338623, 0.679999828338623, 0.6539998054504395, 0.6399998664855957, 1.0, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.0, 0.5399999618530273, 0.5199999809265137, 0.4200000762939453, 0.17999982833862305, 0.40000009536743164, 0.0839996337890625, 0.25999975204467773, 0.2879998207092287, 0.31599988937377965]","[0.0, 0.0, 0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267, 0.9928, 0.0, 0.9773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 27, 20, 0), end=datetime.datetime(2016, 5, 8, 20, 0))","[0.6539998054504395, 0.6399998664855957, 1.0, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.0, 0.5399999618530273, 0.5199999809265137, 0.4200000762939453, 0.17999982833862305, 0.40000009536743164, 0.0839996337890625, 0.25999975204467773, 0.2879998207092287, 0.31599988937377965, 0.3439999580383297, 0.3720000267028807]","[0.974, 0.8905, 0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267, 0.9928, 0.0, 0.9773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 28, 20, 0), end=datetime.datetime(2016, 5, 9, 20, 0))","[1.0, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.8199996948242188, 0.0, 0.5399999618530273, 0.5199999809265137, 0.4200000762939453, 0.17999982833862305, 0.40000009536743164, 0.0839996337890625, 0.25999975204467773, 0.2879998207092287, 0.31599988937377965, 0.3439999580383297, 0.3720000267028807, 0.40000009536743164, 0.2999997138977051]","[0.9699, -0.5106, 0.0, 0.0, 0.0, 0.9969, 0.0, -0.5267, 0.9928, 0.0, 0.9773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
