window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 4, 9, 20, 0), end=datetime.datetime(2016, 4, 20, 20, 0))","[0.7828564966948419, 0.7842850992637648, 0.7857137018326875, 0.3714284935776917, 0.5285706889880709, 1.0, 0.9928569871553834, 0.5785717789003875, 0.5357137018326875, 0.2999997275219209, 0.15000054495615828, 0.45714328532269577, 0.36571462825815665, 0.2742859711936175, 0.18285731412907832, 0.09142865706453916, 0.0, 0.7285709614661501, 0.9357142467888458, 0.7785706889880709, 0.7214279486215334, 0.8071427403665375]","[0.664325, 0.664325, 0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444]"
"Row(start=datetime.datetime(2016, 4, 10, 20, 0), end=datetime.datetime(2016, 4, 21, 20, 0))","[0.7857137018326875, 0.3714284935776917, 0.5285706889880709, 1.0, 0.9928569871553834, 0.5785717789003875, 0.5357137018326875, 0.2999997275219209, 0.15000054495615828, 0.45714328532269577, 0.36571462825815665, 0.2742859711936175, 0.18285731412907832, 0.09142865706453916, 0.0, 0.7285709614661501, 0.9357142467888458, 0.7785706889880709, 0.7214279486215334, 0.8071427403665375, 0.7642846632988376, 0.31428575321115415]","[0.42067499999999997, 0.42067499999999997, 0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725]"
"Row(start=datetime.datetime(2016, 4, 11, 20, 0), end=datetime.datetime(2016, 4, 22, 20, 0))","[0.5285706889880709, 1.0, 0.9928569871553834, 0.5785717789003875, 0.5357137018326875, 0.2999997275219209, 0.15000054495615828, 0.45714328532269577, 0.36571462825815665, 0.2742859711936175, 0.18285731412907832, 0.09142865706453916, 0.0, 0.7285709614661501, 0.9357142467888458, 0.7785706889880709, 0.7214279486215334, 0.8071427403665375, 0.7642846632988376, 0.31428575321115415, 0.43571424678884585, 0.6214284935776917]","[0.41238461538461546, 0.41238461538461535, 0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363]"
"Row(start=datetime.datetime(2016, 4, 12, 20, 0), end=datetime.datetime(2016, 4, 23, 20, 0))","[1.0, 0.5827342571844542, 0.5395678418576186, 0.30215804632794563, 0.15107970925996314, 0.46043215814238136, 0.3683457265139051, 0.27625929488542883, 0.18417286325695256, 0.09208643162847628, 0.0, 0.7338125942524367, 0.9424461517562, 0.7841720399417642, 0.726618191697964, 0.8129496501596546, 0.769783234832819, 0.3165468514368908, 0.4388489504789636, 0.6258993003193091, 0.5712229386589018, 0.5165465769984947]","[0.14791666666666667, 0.14791666666666667, 0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363, -0.01772499999999999, -0.01772499999999999]"
"Row(start=datetime.datetime(2016, 4, 13, 20, 0), end=datetime.datetime(2016, 4, 24, 20, 0))","[0.5725184837904655, 0.3206104091622526, 0.16030593257602452, 0.48855009624092555, 0.3908400769927404, 0.2931300577445553, 0.1954200384963702, 0.0977100192481851, 0.0, 0.7786254873925843, 1.0, 0.8320603129213271, 0.7709917328899359, 0.8625953309319209, 0.8167928039160302, 0.33587791816754947, 0.4656488327329802, 0.6641220818324505, 0.6061067124041595, 0.5480913429758685, 0.49007597354757737, 0.4320606041192863]","[0.3383333333333334, 0.3383333333333334, 0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363, -0.01772499999999999, -0.01772499999999999, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 14, 20, 0), end=datetime.datetime(2016, 4, 25, 20, 0))","[0.21985780105675243, 0.5248225895033588, 0.4340422538640723, 0.3432619182247858, 0.2524815825854993, 0.16170124694621277, 0.07092091130692625, 0.7943255695668289, 1.0, 0.8439707485735466, 0.7872332078902017, 0.8723401952800556, 0.829786025220292, 0.38297806143015994, 0.503545504473477, 0.6879428498767663, 0.6340419833181377, 0.580141116759509, 0.5262402502008804, 0.4723393836422517, 0.41843851708362306, 0.0]","[0.37639230769230764, 0.37639230769230775, 0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363, -0.01772499999999999, -0.01772499999999999, 0.0, 0.0, 0.4485833333333334, 0.44858333333333333]"
"Row(start=datetime.datetime(2016, 4, 15, 20, 0), end=datetime.datetime(2016, 4, 26, 20, 0))","[0.4340422538640723, 0.3432619182247858, 0.2524815825854993, 0.16170124694621277, 0.07092091130692625, 0.7943255695668289, 1.0, 0.8439707485735466, 0.7872332078902017, 0.8723401952800556, 0.829786025220292, 0.38297806143015994, 0.503545504473477, 0.6879428498767663, 0.6340419833181377, 0.580141116759509, 0.5262402502008804, 0.4723393836422517, 0.41843851708362306, 0.0, 0.08510563466018078, 0.3687933380769054]","[0.9062, 0.9062, 0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363, -0.01772499999999999, -0.01772499999999999, 0.0, 0.0, 0.4485833333333334, 0.44858333333333333, 0.3391090909090909, 0.3391090909090909]"
"Row(start=datetime.datetime(2016, 4, 16, 20, 0), end=datetime.datetime(2016, 4, 27, 20, 0))","[0.19999957138203575, 0.1280892639772318, 0.056178956572427864, 0.629213314588441, 0.7921352889742315, 0.6685390128071048, 0.6235952046222162, 0.6910114526720044, 0.657302792874655, 0.3033704373617707, 0.3988761636977729, 0.5449438081848886, 0.5022470296775079, 0.45955025117012704, 0.41685347266274625, 0.37415669415536545, 0.33145991564798466, 0.0, 0.06741517650487767, 0.2921342174293209, 0.44381997188266153, 1.0]","[0.5629500000000001, 0.5629500000000001, 0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363, -0.01772499999999999, -0.01772499999999999, 0.0, 0.0, 0.4485833333333334, 0.44858333333333333, 0.3391090909090909, 0.3391090909090909, -0.000614285714285718, -0.0006142857142857121]"
"Row(start=datetime.datetime(2016, 4, 17, 20, 0), end=datetime.datetime(2016, 4, 28, 20, 0))","[0.056178956572427864, 0.629213314588441, 0.7921352889742315, 0.6685390128071048, 0.6235952046222162, 0.6910114526720044, 0.657302792874655, 0.3033704373617707, 0.3988761636977729, 0.5449438081848886, 0.5022470296775079, 0.45955025117012704, 0.41685347266274625, 0.37415669415536545, 0.33145991564798466, 0.0, 0.06741517650487767, 0.2921342174293209, 0.44381997188266153, 1.0, 0.842697207125345, 0.7247190409244433]","[0.18337142857142855, 0.1833714285714286, 0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363, -0.01772499999999999, -0.01772499999999999, 0.0, 0.0, 0.4485833333333334, 0.44858333333333333, 0.3391090909090909, 0.3391090909090909, -0.000614285714285718, -0.0006142857142857121, 0.4476, 0.4476]"
"Row(start=datetime.datetime(2016, 4, 18, 20, 0), end=datetime.datetime(2016, 4, 29, 20, 0))","[0.7921352889742315, 0.6685390128071048, 0.6235952046222162, 0.6910114526720044, 0.657302792874655, 0.3033704373617707, 0.3988761636977729, 0.5449438081848886, 0.5022470296775079, 0.45955025117012704, 0.41685347266274625, 0.37415669415536545, 0.33145991564798466, 0.0, 0.06741517650487767, 0.2921342174293209, 0.44381997188266153, 1.0, 0.842697207125345, 0.7247190409244433, 0.7977523273955458, 0.6235952046222162]","[0.4356461538461539, 0.43564615384615385, 0.12254444444444444, 0.12254444444444444, 0.33372500000000005, 0.333725, 0.1048363636363636, 0.10483636363636363, -0.01772499999999999, -0.01772499999999999, 0.0, 0.0, 0.4485833333333334, 0.44858333333333333, 0.3391090909090909, 0.3391090909090909, -0.000614285714285718, -0.0006142857142857121, 0.4476, 0.4476, 0.1666625, 0.16666250000000005]"
