window,StockPrice,NewsScore
"Row(start=datetime.datetime(2016, 4, 24, 20, 0), end=datetime.datetime(2016, 5, 5, 20, 0))","[0.6584936820319045, 0.4816112856266727, 0.5516634354193696, 0.5989489872678613, 0.6479862270032508, 1.0, 0.9194397271054661, 0.8598950323414228, 0.9352015777216299, 0.6094571103696983, 0.600700541540123, 0.5919439727105463, 0.583187403880971, 0.5744308350513944, 0.565674266221819, 0.5884415322392076, 0.45359029209495727, 0.2714535001022152, 0.4798595977397748, 0.01926422428018455, 0.22591963614062138, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 25, 20, 0), end=datetime.datetime(2016, 5, 6, 20, 0))","[0.5864295391889239, 0.6300483492808002, 0.6752830132284938, 1.0, 0.9256867455920684, 0.8707594235801887, 0.9402263489560272, 0.639741623612666, 0.6316640798830822, 0.6235865361534972, 0.6155089924239135, 0.6074314486943286, 0.5993539049647448, 0.620355691216614, 0.49596144382889573, 0.3279483863493011, 0.5201937052570407, 0.09531504065980083, 0.28594543011324225, 0.07754465398572663, 0.0, 0.10985464402375958]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 26, 20, 0), end=datetime.datetime(2016, 5, 7, 20, 0))","[0.6752830132284938, 1.0, 0.9256867455920684, 0.8707594235801887, 0.9402263489560272, 0.639741623612666, 0.6316640798830822, 0.6235865361534972, 0.6155089924239135, 0.6074314486943286, 0.5993539049647448, 0.620355691216614, 0.49596144382889573, 0.3279483863493011, 0.5201937052570407, 0.09531504065980083, 0.28594543011324225, 0.07754465398572663, 0.0, 0.10985464402375958, 0.09693058638177844, 0.0840065287397973]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 27, 20, 0), end=datetime.datetime(2016, 5, 8, 20, 0))","[0.9845360605134044, 0.9261168063913858, 1.0, 0.6804123542410803, 0.6718212913139961, 0.6632302283869109, 0.6546391654598268, 0.6460481025327415, 0.6374570396056575, 0.6597939867409811, 0.5274915390103485, 0.34879727281992895, 0.5532643345239512, 0.10137456875744136, 0.30412403399536664, 0.08247445316952424, 0.0, 0.11683850824403699, 0.10309282066962339, 0.08934713309520977, 0.07560144552079616, 0.061855757946382546]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 28, 20, 0), end=datetime.datetime(2016, 5, 9, 20, 0))","[1.0, 0.7138460599459134, 0.7061537522536062, 0.6984614445612979, 0.6907691368689906, 0.6830768291766822, 0.675384521484375, 0.6953846858097956, 0.5769230769230769, 0.41692293607271635, 0.5999996478740985, 0.19538439237154448, 0.3769231942983774, 0.17846151498647836, 0.1046151381272536, 0.2092305696927584, 0.19692288912259615, 0.1846152085524339, 0.17230752798227164, 0.15999984741210938, 0.1476921668419471, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 29, 20, 0), end=datetime.datetime(2016, 5, 10, 20, 0))","[1.0, 0.9891067523641144, 0.9782135047282303, 0.9673202570923447, 0.9564270094564606, 0.9847496860146359, 0.8169935726913511, 0.5904138224036283, 0.8496728169457014, 0.2766881741377119, 0.5337693003761173, 0.252723311908971, 0.14814781879071912, 0.29629605312585794, 0.2788668735302192, 0.2614376939345805, 0.2440085143389418, 0.2265793347433031, 0.2091501551476644, 0.0, 0.0784311004081643, 0.3267974290765404]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 4, 30, 20, 0), end=datetime.datetime(2016, 5, 11, 20, 0))","[0.9933625962219312, 0.9823006504395757, 0.9712387046572216, 1.0, 0.8296459336765998, 0.599557258853346, 0.8628312646479719, 0.28097310216720356, 0.5420355121272759, 0.25663710839224874, 0.15044210817703907, 0.3008846383338214, 0.2831855419612437, 0.26548644558866596, 0.24778734921608822, 0.2300882528435105, 0.21238915647093276, 0.0, 0.07964572268672815, 0.3318583734706399, 0.26548644558866596, 0.5530972891177331]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 5, 1, 20, 0), end=datetime.datetime(2016, 5, 12, 20, 0))","[0.9712387046572216, 1.0, 0.8296459336765998, 0.599557258853346, 0.8628312646479719, 0.28097310216720356, 0.5420355121272759, 0.25663710839224874, 0.15044210817703907, 0.3008846383338214, 0.2831855419612437, 0.26548644558866596, 0.24778734921608822, 0.2300882528435105, 0.21238915647093276, 0.0, 0.07964572268672815, 0.3318583734706399, 0.26548644558866596, 0.5530972891177331, 0.8097343975099819, 0.5907074996771855]","[0.0, 0.0, 0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 5, 2, 20, 0), end=datetime.datetime(2016, 5, 13, 20, 0))","[0.9615390258431219, 0.6948719679252241, 1.0, 0.3256408450635343, 0.6282056925097886, 0.29743603286901593, 0.17435866587242665, 0.34871782080889235, 0.328205007820134, 0.3076921948313756, 0.2871793818426172, 0.26666656885385887, 0.2461537558651005, 0.0, 0.09230741391739317, 0.3846156103372488, 0.3076921948313756, 0.641026017228748, 0.938462050097764, 0.6846153168988254, 0.4743588614980423, 0.6358976917155487]","[0.0, 0.0, -0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 5, 3, 20, 0), end=datetime.datetime(2016, 5, 14, 20, 0))","[1.0, 0.3256408450635343, 0.6282056925097886, 0.29743603286901593, 0.17435866587242665, 0.34871782080889235, 0.328205007820134, 0.3076921948313756, 0.2871793818426172, 0.26666656885385887, 0.2461537558651005, 0.0, 0.09230741391739317, 0.3846156103372488, 0.3076921948313756, 0.641026017228748, 0.938462050097764, 0.6846153168988254, 0.4743588614980423, 0.6358976917155487, 0.6851284428885683, 0.7343591940615881]","[-0.8121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 5, 4, 20, 0), end=datetime.datetime(2016, 5, 15, 20, 0))","[0.6693991434649335, 0.3169398622331405, 0.18579191972042228, 0.37158436057437255, 0.34972645701117416, 0.3278685534479758, 0.3060106498847774, 0.284152746321579, 0.2622948427583806, 0.0, 0.09836030546762875, 0.4098360826601157, 0.3278685534479758, 0.6830601377668595, 1.0, 0.7295077268468191, 0.5054640850406537, 0.6775955315926778, 0.7300545001443536, 0.7825134686960293, 0.834972437247707, 0.8874314057993827]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Row(start=datetime.datetime(2016, 5, 5, 20, 0), end=datetime.datetime(2016, 5, 16, 20, 0))","[0.1813329060872396, 0.36266632080078126, 0.3413330078125, 0.31999969482421875, 0.2986663818359375, 0.27733306884765624, 0.255999755859375, 0.0, 0.09599965413411458, 0.4, 0.31999969482421875, 0.6666666666666666, 0.9759999593098958, 0.71199951171875, 0.49333292643229165, 0.6613332112630208, 0.7125331624348955, 0.7637331136067701, 0.8149330647786466, 0.8661330159505212, 0.9173329671223959, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
