Date,Type,ticker,Price
2019-09-04,Open,RIOT,1.9700000286102295
2019-09-04,Closed,RIOT,2.0999999046325684
2019-09-05,Open,RIOT,2.0999999046325684
2019-09-05,Closed,RIOT,2.069999933242798
2019-09-06,Open,RIOT,2.109999895095825
2019-09-06,Closed,RIOT,2.0399999618530273
2019-09-09,Open,RIOT,2.1500000953674316
2019-09-09,Closed,RIOT,2.0299999713897705
2019-09-10,Open,RIOT,2.059999942779541
2019-09-10,Closed,RIOT,2.0
2019-09-11,Open,RIOT,1.9900000095367432
2019-09-11,Closed,RIOT,2.009999990463257
2019-09-12,Open,RIOT,2.069999933242798
2019-09-12,Closed,RIOT,2.049999952316284
2019-09-13,Open,RIOT,2.049999952316284
2019-09-13,Closed,RIOT,2.119999885559082
2019-09-16,Open,RIOT,2.0899999141693115
2019-09-16,Closed,RIOT,2.119999885559082
2019-09-17,Open,RIOT,2.109999895095825
2019-09-17,Closed,RIOT,2.190000057220459
2019-09-18,Open,RIOT,2.2100000381469727
2019-09-18,Closed,RIOT,2.0899999141693115
2019-09-19,Open,RIOT,2.0299999713897705
2019-09-19,Closed,RIOT,1.9900000095367432
2019-09-20,Open,RIOT,1.9600000381469727
2019-09-20,Closed,RIOT,2.059999942779541
2019-09-23,Open,RIOT,2.0399999618530273
2019-09-23,Closed,RIOT,2.009999990463257
2019-09-24,Open,RIOT,2.009999990463257
2019-09-24,Closed,RIOT,1.909999966621399
2019-09-25,Open,RIOT,1.8899999856948853
2019-09-25,Closed,RIOT,1.8849999904632568
2019-09-26,Open,RIOT,1.8799999952316284
2019-09-26,Closed,RIOT,1.850000023841858
2019-09-27,Open,RIOT,1.850000023841858
2019-09-27,Closed,RIOT,1.7200000286102295
2019-09-30,Open,RIOT,1.7200000286102295
2019-09-30,Closed,RIOT,1.7799999713897705
2019-10-01,Open,RIOT,1.840000033378601
2019-10-01,Closed,RIOT,1.7300000190734863
2019-10-02,Open,RIOT,1.7300000190734863
2019-10-02,Closed,RIOT,1.6799999475479126
2019-10-03,Open,RIOT,1.690000057220459
2019-10-03,Closed,RIOT,1.6399999856948853
2019-10-04,Open,RIOT,1.659999966621399
2019-10-04,Closed,RIOT,1.6799999475479126
2019-10-07,Open,RIOT,1.7000000476837158
2019-10-07,Closed,RIOT,1.7200000286102295
2019-10-08,Open,RIOT,1.690000057220459
2019-10-08,Closed,RIOT,1.690000057220459
2019-10-09,Open,RIOT,1.690000057220459
2019-10-09,Closed,RIOT,1.809999942779541
2019-10-10,Open,RIOT,1.7999999523162842
2019-10-10,Closed,RIOT,1.7799999713897705
2019-10-11,Open,RIOT,1.7699999809265137
2019-10-11,Closed,RIOT,1.7999999523162842
2019-10-14,Open,RIOT,1.7699999809265137
2019-10-14,Closed,RIOT,1.7899999618530273
2019-10-15,Open,RIOT,1.7799999713897705
2019-10-15,Closed,RIOT,1.7799999713897705
2019-10-16,Open,RIOT,1.7599999904632568
2019-10-16,Closed,RIOT,1.7000000476837158
2019-10-17,Open,RIOT,1.7000000476837158
2019-10-17,Closed,RIOT,1.7200000286102295
2019-10-18,Open,RIOT,1.7400000095367432
2019-10-18,Closed,RIOT,1.7100000381469727
2019-10-21,Open,RIOT,1.7300000190734863
2019-10-21,Closed,RIOT,1.7000000476837158
2019-10-22,Open,RIOT,1.7000000476837158
2019-10-22,Closed,RIOT,1.659999966621399
2019-10-23,Open,RIOT,1.5700000524520874
2019-10-23,Closed,RIOT,1.5700000524520874
2019-10-24,Open,RIOT,1.5800000429153442
2019-10-24,Closed,RIOT,1.5700000524520874
2019-10-25,Open,RIOT,1.6100000143051147
2019-10-25,Closed,RIOT,1.6799999475479126
2019-10-28,Open,RIOT,1.7999999523162842
2019-10-28,Closed,RIOT,1.7000000476837158
2019-10-29,Open,RIOT,1.6799999475479126
2019-10-29,Closed,RIOT,1.6100000143051147
2019-10-30,Open,RIOT,1.6100000143051147
2019-10-30,Closed,RIOT,1.590000033378601
2019-10-31,Open,RIOT,1.6299999952316284
2019-10-31,Closed,RIOT,1.559999942779541
2019-11-01,Open,RIOT,1.5499999523162842
2019-11-01,Closed,RIOT,1.5700000524520874
2019-11-04,Open,RIOT,1.5700000524520874
2019-11-04,Closed,RIOT,1.659999966621399
2019-11-05,Open,RIOT,1.659999966621399
2019-11-05,Closed,RIOT,1.600000023841858
2019-11-06,Open,RIOT,1.590000033378601
2019-11-06,Closed,RIOT,1.5700000524520874
2019-11-07,Open,RIOT,1.5700000524520874
2019-11-07,Closed,RIOT,1.5
2019-11-08,Open,RIOT,1.5199999809265137
2019-11-08,Closed,RIOT,1.5199999809265137
2019-11-11,Open,RIOT,1.5499999523162842
2019-11-11,Closed,RIOT,1.5299999713897705
2019-11-12,Open,RIOT,1.5
2019-11-12,Closed,RIOT,1.5199999809265137
2019-11-13,Open,RIOT,1.5099999904632568
2019-11-13,Closed,RIOT,1.5099999904632568
2019-11-14,Open,RIOT,1.5099999904632568
2019-11-14,Closed,RIOT,1.590000033378601
2019-11-15,Open,RIOT,1.5700000524520874
2019-11-15,Closed,RIOT,1.5099999904632568
2019-11-18,Open,RIOT,1.5499999523162842
2019-11-18,Closed,RIOT,1.4600000381469727
2019-11-19,Open,RIOT,1.4900000095367432
2019-11-19,Closed,RIOT,1.440000057220459
2019-11-20,Open,RIOT,1.4500000476837158
2019-11-20,Closed,RIOT,1.4299999475479126
2019-11-21,Open,RIOT,1.4199999570846558
2019-11-21,Closed,RIOT,1.4199999570846558
2019-11-22,Open,RIOT,1.3899999856948853
2019-11-22,Closed,RIOT,1.4900000095367432
2019-11-25,Open,RIOT,1.5099999904632568
2019-11-25,Closed,RIOT,1.350000023841858
2019-11-26,Open,RIOT,1.440000057220459
2019-11-26,Closed,RIOT,1.3300000429153442
2019-11-27,Open,RIOT,1.3600000143051147
2019-11-27,Closed,RIOT,1.350000023841858
2019-11-29,Open,RIOT,1.350000023841858
2019-11-29,Closed,RIOT,1.3899999856948853
2019-12-02,Open,RIOT,1.340000033378601
2019-12-02,Closed,RIOT,1.2999999523162842
2019-12-03,Open,RIOT,1.3200000524520874
2019-12-03,Closed,RIOT,1.3200000524520874
2019-12-04,Open,RIOT,1.340000033378601
2019-12-04,Closed,RIOT,1.2899999618530273
2019-12-05,Open,RIOT,1.309999942779541
2019-12-05,Closed,RIOT,1.3200000524520874
2019-12-06,Open,RIOT,1.2999999523162842
2019-12-06,Closed,RIOT,1.3200000524520874
2019-12-09,Open,RIOT,1.3200000524520874
2019-12-09,Closed,RIOT,1.2899999618530273
2019-12-10,Open,RIOT,1.2899999618530273
2019-12-10,Closed,RIOT,1.2999999523162842
2019-12-11,Open,RIOT,1.2999999523162842
2019-12-11,Closed,RIOT,1.3200000524520874
2019-12-12,Open,RIOT,1.3700000047683716
2019-12-12,Closed,RIOT,1.3200000524520874
2019-12-13,Open,RIOT,1.3300000429153442
2019-12-13,Closed,RIOT,1.340000033378601
2019-12-16,Open,RIOT,1.3300000429153442
2019-12-16,Closed,RIOT,1.3300000429153442
2019-12-17,Open,RIOT,1.2999999523162842
2019-12-17,Closed,RIOT,1.2999999523162842
2019-12-18,Open,RIOT,1.309999942779541
2019-12-18,Closed,RIOT,1.3300000429153442
2019-12-19,Open,RIOT,1.350000023841858
2019-12-19,Closed,RIOT,1.3200000524520874
2019-12-20,Open,RIOT,1.3300000429153442
2019-12-20,Closed,RIOT,1.3300000429153442
2019-12-23,Open,RIOT,1.350000023841858
2019-12-23,Closed,RIOT,1.3300000429153442
2019-12-24,Open,RIOT,1.309999942779541
2019-12-24,Closed,RIOT,1.309999942779541
2019-12-26,Open,RIOT,1.340000033378601
2019-12-26,Closed,RIOT,1.2999999523162842
2019-12-27,Open,RIOT,1.2899999618530273
2019-12-27,Closed,RIOT,1.2200000286102295
2019-12-30,Open,RIOT,1.2200000286102295
2019-12-30,Closed,RIOT,1.1399999856948853
2019-12-31,Open,RIOT,1.1399999856948853
2019-12-31,Closed,RIOT,1.1200000047683716
2020-01-02,Open,RIOT,1.1399999856948853
2020-01-02,Closed,RIOT,1.2200000286102295
2020-01-03,Open,RIOT,1.2200000286102295
2020-01-03,Closed,RIOT,1.1799999475479126
2020-01-06,Open,RIOT,1.2300000190734863
2020-01-06,Closed,RIOT,1.2999999523162842
2020-01-07,Open,RIOT,1.3899999856948853
2020-01-07,Closed,RIOT,1.4900000095367432
2020-01-08,Open,RIOT,1.5399999618530273
2020-01-08,Closed,RIOT,1.3700000047683716
2020-01-09,Open,RIOT,1.3700000047683716
2020-01-09,Closed,RIOT,1.3300000429153442
2020-01-10,Open,RIOT,1.3300000429153442
2020-01-10,Closed,RIOT,1.409999966621399
2020-01-13,Open,RIOT,1.4500000476837158
2020-01-13,Closed,RIOT,1.3600000143051147
2020-01-14,Open,RIOT,1.440000057220459
2020-01-14,Closed,RIOT,1.4199999570846558
2020-01-15,Open,RIOT,1.5
2020-01-15,Closed,RIOT,1.399999976158142
2020-01-16,Open,RIOT,1.399999976158142
2020-01-16,Closed,RIOT,1.4299999475479126
2020-01-17,Open,RIOT,1.4500000476837158
2020-01-17,Closed,RIOT,1.4600000381469727
2020-01-21,Open,RIOT,1.4900000095367432
2020-01-21,Closed,RIOT,1.399999976158142
2020-01-22,Open,RIOT,1.4299999475479126
2020-01-22,Closed,RIOT,1.340000033378601
2020-01-23,Open,RIOT,1.3300000429153442
2020-01-23,Closed,RIOT,1.2599999904632568
2020-01-24,Open,RIOT,1.2999999523162842
2020-01-24,Closed,RIOT,1.2599999904632568
2020-01-27,Open,RIOT,1.2599999904632568
2020-01-27,Closed,RIOT,1.2400000095367432
2020-01-28,Open,RIOT,1.2799999713897705
2020-01-28,Closed,RIOT,1.309999942779541
2020-01-29,Open,RIOT,1.3300000429153442
2020-01-29,Closed,RIOT,1.309999942779541
2020-01-30,Open,RIOT,1.5800000429153442
2020-01-30,Closed,RIOT,1.4299999475479126
2020-01-31,Open,RIOT,1.4500000476837158
2020-01-31,Closed,RIOT,1.350000023841858
2020-02-03,Open,RIOT,1.3600000143051147
2020-02-03,Closed,RIOT,1.3600000143051147
2020-02-04,Open,RIOT,1.3600000143051147
2020-02-04,Closed,RIOT,1.3799999952316284
2020-02-05,Open,RIOT,1.399999976158142
2020-02-05,Closed,RIOT,1.4800000190734863
2020-02-06,Open,RIOT,1.5299999713897705
2020-02-06,Closed,RIOT,1.4299999475479126
2020-02-07,Open,RIOT,1.4600000381469727
2020-02-07,Closed,RIOT,1.4299999475479126
2020-02-10,Open,RIOT,1.4800000190734863
2020-02-10,Closed,RIOT,1.4800000190734863
2020-02-11,Open,RIOT,1.5
2020-02-11,Closed,RIOT,1.6799999475479126
2020-02-12,Open,RIOT,1.7899999618530273
2020-02-12,Closed,RIOT,1.600000023841858
2020-02-13,Open,RIOT,1.600000023841858
2020-02-13,Closed,RIOT,1.6100000143051147
2020-02-14,Open,RIOT,1.6100000143051147
2020-02-14,Closed,RIOT,1.6399999856948853
2020-02-18,Open,RIOT,1.5499999523162842
2020-02-18,Closed,RIOT,1.5
2020-02-19,Open,RIOT,1.5499999523162842
2020-02-19,Closed,RIOT,1.5
2020-02-20,Open,RIOT,1.4199999570846558
2020-02-20,Closed,RIOT,1.4199999570846558
2020-02-21,Open,RIOT,1.4299999475479126
2020-02-21,Closed,RIOT,1.409999966621399
2020-02-24,Open,RIOT,1.2999999523162842
2020-02-24,Closed,RIOT,1.3300000429153442
2020-02-25,Open,RIOT,1.350000023841858
2020-02-25,Closed,RIOT,1.2599999904632568
2020-02-26,Open,RIOT,1.2400000095367432
2020-02-26,Closed,RIOT,1.2450000047683716
2020-02-27,Open,RIOT,1.2000000476837158
2020-02-27,Closed,RIOT,1.2300000190734863
2020-02-28,Open,RIOT,1.149999976158142
2020-02-28,Closed,RIOT,1.1399999856948853
2020-03-02,Open,RIOT,1.159999966621399
2020-03-02,Closed,RIOT,1.1799999475479126
2020-03-03,Open,RIOT,1.1799999475479126
2020-03-03,Closed,RIOT,1.1399999856948853
2020-03-04,Open,RIOT,1.159999966621399
2020-03-04,Closed,RIOT,1.1649999618530273
2020-03-05,Open,RIOT,1.25
2020-03-05,Closed,RIOT,1.2799999713897705
2020-03-06,Open,RIOT,1.2899999618530273
2020-03-06,Closed,RIOT,1.2699999809265137
2020-03-09,Open,RIOT,1.0800000429153442
2020-03-09,Closed,RIOT,1.0800000429153442
2020-03-10,Open,RIOT,1.1299999952316284
2020-03-10,Closed,RIOT,1.0700000524520874
2020-03-11,Open,RIOT,1.0399999618530273
2020-03-11,Closed,RIOT,1.0099999904632568
2020-03-12,Open,RIOT,0.75
2020-03-12,Closed,RIOT,0.7279999852180481
2020-03-13,Open,RIOT,0.7799999713897705
2020-03-13,Closed,RIOT,0.7200000286102295
2020-03-16,Open,RIOT,0.6100000143051147
2020-03-16,Closed,RIOT,0.6579999923706055
2020-03-17,Open,RIOT,0.699999988079071
2020-03-17,Closed,RIOT,0.7480000257492065
2020-03-18,Open,RIOT,0.7400000095367432
2020-03-18,Closed,RIOT,0.6499999761581421
2020-03-19,Open,RIOT,0.699999988079071
2020-03-19,Closed,RIOT,0.703000009059906
2020-03-20,Open,RIOT,0.7559999823570251
2020-03-20,Closed,RIOT,0.7049999833106995
2020-03-23,Open,RIOT,0.7139999866485596
2020-03-23,Closed,RIOT,0.6690000295639038
2020-03-24,Open,RIOT,0.7350000143051147
2020-03-24,Closed,RIOT,0.7979999780654907
2020-03-25,Open,RIOT,0.75
2020-03-25,Closed,RIOT,0.7730000019073486
2020-03-26,Open,RIOT,0.8199999928474426
2020-03-26,Closed,RIOT,0.8159999847412109
2020-03-27,Open,RIOT,0.800000011920929
2020-03-27,Closed,RIOT,0.7889999747276306
2020-03-30,Open,RIOT,0.8069999814033508
2020-03-30,Closed,RIOT,0.7919999957084656
2020-03-31,Open,RIOT,0.8299999833106995
2020-03-31,Closed,RIOT,0.8330000042915344
2020-04-01,Open,RIOT,0.8299999833106995
2020-04-01,Closed,RIOT,0.7730000019073486
2020-04-02,Open,RIOT,0.7979999780654907
2020-04-02,Closed,RIOT,0.7799999713897705
2020-04-03,Open,RIOT,0.9100000262260437
2020-04-03,Closed,RIOT,0.8999999761581421
2020-04-06,Open,RIOT,0.949999988079071
2020-04-06,Closed,RIOT,1.0950000286102295
2020-04-07,Open,RIOT,1.190000057220459
2020-04-07,Closed,RIOT,1.0199999809265137
2020-04-08,Open,RIOT,1.059999942779541
2020-04-08,Closed,RIOT,1.0700000524520874
2020-04-09,Open,RIOT,1.0800000429153442
2020-04-09,Closed,RIOT,1.0299999713897705
2020-04-13,Open,RIOT,1.0099999904632568
2020-04-13,Closed,RIOT,1.0099999904632568
2020-04-14,Open,RIOT,0.984000027179718
2020-04-14,Closed,RIOT,1.0099999904632568
2020-04-15,Open,RIOT,1.0499999523162842
2020-04-15,Closed,RIOT,1.1299999952316284
2020-04-16,Open,RIOT,1.2000000476837158
2020-04-16,Closed,RIOT,1.1699999570846558
2020-04-17,Open,RIOT,1.2000000476837158
2020-04-17,Closed,RIOT,1.1399999856948853
2020-04-20,Open,RIOT,1.100000023841858
2020-04-20,Closed,RIOT,1.100000023841858
2020-04-21,Open,RIOT,1.0800000429153442
2020-04-21,Closed,RIOT,1.0199999809265137
2020-04-22,Open,RIOT,1.0499999523162842
2020-04-22,Closed,RIOT,1.0700000524520874
2020-04-23,Open,RIOT,1.0700000524520874
2020-04-23,Closed,RIOT,1.149999976158142
2020-04-24,Open,RIOT,1.1699999570846558
2020-04-24,Closed,RIOT,1.25
2020-04-27,Open,RIOT,1.2699999809265137
2020-04-27,Closed,RIOT,1.2400000095367432
2020-04-28,Open,RIOT,1.2400000095367432
2020-04-28,Closed,RIOT,1.159999966621399
2020-04-29,Open,RIOT,1.2599999904632568
2020-04-29,Closed,RIOT,1.2100000381469727
2020-04-30,Open,RIOT,1.2300000190734863
2020-04-30,Closed,RIOT,1.2100000381469727
2020-05-01,Open,RIOT,1.1799999475479126
2020-05-01,Closed,RIOT,1.0700000524520874
2020-05-04,Open,RIOT,1.100000023841858
2020-05-04,Closed,RIOT,1.1200000047683716
2020-05-05,Open,RIOT,1.149999976158142
2020-05-05,Closed,RIOT,1.149999976158142
2020-05-06,Open,RIOT,1.2100000381469727
2020-05-06,Closed,RIOT,1.2699999809265137
2020-05-07,Open,RIOT,1.350000023841858
2020-05-07,Closed,RIOT,1.5399999618530273
2020-05-08,Open,RIOT,1.75
2020-05-08,Closed,RIOT,1.850000023841858
2020-05-11,Open,RIOT,1.7999999523162842
2020-05-11,Closed,RIOT,1.590000033378601
2020-05-12,Open,RIOT,1.6100000143051147
2020-05-12,Closed,RIOT,1.600000023841858
2020-05-13,Open,RIOT,1.6399999856948853
2020-05-13,Closed,RIOT,1.8899999856948853
2020-05-14,Open,RIOT,2.0999999046325684
2020-05-14,Closed,RIOT,2.2799999713897705
2020-05-15,Open,RIOT,2.2699999809265137
2020-05-15,Closed,RIOT,2.0799999237060547
2020-05-18,Open,RIOT,2.180000066757202
2020-05-18,Closed,RIOT,2.190000057220459
2020-05-19,Open,RIOT,2.200000047683716
2020-05-19,Closed,RIOT,2.2300000190734863
2020-05-20,Open,RIOT,2.450000047683716
2020-05-20,Closed,RIOT,2.5299999713897705
2020-05-21,Open,RIOT,2.430000066757202
2020-05-21,Closed,RIOT,2.3299999237060547
2020-05-22,Open,RIOT,2.369999885559082
2020-05-22,Closed,RIOT,2.240000009536743
2020-05-26,Open,RIOT,2.1700000762939453
2020-05-26,Closed,RIOT,1.9500000476837158
2020-05-27,Open,RIOT,2.130000114440918
2020-05-27,Closed,RIOT,2.119999885559082
2020-05-28,Open,RIOT,2.2200000286102295
2020-05-28,Closed,RIOT,2.2100000381469727
2020-05-29,Open,RIOT,2.200000047683716
2020-05-29,Closed,RIOT,2.140000104904175
2020-06-01,Open,RIOT,2.140000104904175
2020-06-01,Closed,RIOT,2.2699999809265137
2020-06-02,Open,RIOT,2.619999885559082
2020-06-02,Closed,RIOT,2.509999990463257
2020-06-03,Open,RIOT,2.5999999046325684
2020-06-03,Closed,RIOT,2.4100000858306885
2020-06-04,Open,RIOT,2.5399999618530273
2020-06-04,Closed,RIOT,2.630000114440918
2020-06-05,Open,RIOT,2.569999933242798
2020-06-05,Closed,RIOT,2.5999999046325684
2020-06-08,Open,RIOT,2.5799999237060547
2020-06-08,Closed,RIOT,2.569999933242798
2020-06-09,Open,RIOT,2.549999952316284
2020-06-09,Closed,RIOT,2.619999885559082
2020-06-10,Open,RIOT,2.680000066757202
2020-06-10,Closed,RIOT,3.0999999046325684
2020-06-11,Open,RIOT,2.680000066757202
2020-06-11,Closed,RIOT,2.180000066757202
2020-06-12,Open,RIOT,2.450000047683716
2020-06-12,Closed,RIOT,2.2899999618530273
2020-06-15,Open,RIOT,2.0999999046325684
2020-06-15,Closed,RIOT,2.309999942779541
2020-06-16,Open,RIOT,2.4600000381469727
2020-06-16,Closed,RIOT,2.3499999046325684
2020-06-17,Open,RIOT,2.3499999046325684
2020-06-17,Closed,RIOT,2.2699999809265137
2020-06-18,Open,RIOT,2.2699999809265137
2020-06-18,Closed,RIOT,2.190000057220459
2020-06-19,Open,RIOT,2.25
2020-06-19,Closed,RIOT,2.109999895095825
2020-06-22,Open,RIOT,2.2300000190734863
2020-06-22,Closed,RIOT,2.509999990463257
2020-06-23,Open,RIOT,2.568000078201294
2020-06-23,Closed,RIOT,2.5999999046325684
2020-06-24,Open,RIOT,2.5
2020-06-24,Closed,RIOT,2.369999885559082
2020-06-25,Open,RIOT,2.2200000286102295
2020-06-25,Closed,RIOT,2.3299999237060547
2020-06-26,Open,RIOT,2.2799999713897705
2020-06-26,Closed,RIOT,2.200000047683716
2020-06-29,Open,RIOT,2.1630001068115234
2020-06-29,Closed,RIOT,2.140000104904175
2020-06-30,Open,RIOT,2.0999999046325684
2020-06-30,Closed,RIOT,2.2200000286102295
2020-07-01,Open,RIOT,2.2100000381469727
2020-07-01,Closed,RIOT,2.3399999141693115
2020-07-02,Open,RIOT,2.380000114440918
2020-07-02,Closed,RIOT,2.2899999618530273
2020-07-06,Open,RIOT,2.3499999046325684
2020-07-06,Closed,RIOT,2.380000114440918
2020-07-07,Open,RIOT,2.380000114440918
2020-07-07,Closed,RIOT,2.2899999618530273
2020-07-08,Open,RIOT,2.3299999237060547
2020-07-08,Closed,RIOT,2.5399999618530273
2020-07-09,Open,RIOT,2.5899999141693115
2020-07-09,Closed,RIOT,2.359999895095825
2020-07-10,Open,RIOT,2.299999952316284
2020-07-10,Closed,RIOT,2.3299999237060547
2020-07-13,Open,RIOT,2.3399999141693115
2020-07-13,Closed,RIOT,2.180000066757202
2020-07-14,Open,RIOT,2.1500000953674316
2020-07-14,Closed,RIOT,2.25
2020-07-15,Open,RIOT,2.2699999809265137
2020-07-15,Closed,RIOT,2.259999990463257
2020-07-16,Open,RIOT,2.200000047683716
2020-07-16,Closed,RIOT,2.2200000286102295
2020-07-17,Open,RIOT,2.25
2020-07-17,Closed,RIOT,2.2300000190734863
2020-07-20,Open,RIOT,2.2200000286102295
2020-07-20,Closed,RIOT,2.259999990463257
2020-07-21,Open,RIOT,2.3499999046325684
2020-07-21,Closed,RIOT,2.299999952316284
2020-07-22,Open,RIOT,2.299999952316284
2020-07-22,Closed,RIOT,2.3399999141693115
2020-07-23,Open,RIOT,2.4000000953674316
2020-07-23,Closed,RIOT,2.2899999618530273
2020-07-24,Open,RIOT,2.25
2020-07-24,Closed,RIOT,2.2200000286102295
2020-07-27,Open,RIOT,2.619999885559082
